gate_thresh,mmr_lambda,accuracy,f1,roc_auc,ece,n_correct,n_total
0.85,0.8,0.5333,0.4815,0.5433,0.2243,32,60
0.88,0.8,0.5333,0.4815,0.5433,0.2243,32,60
0.9,0.8,0.5333,0.4815,0.5433,0.2243,32,60
0.92,0.8,0.5333,0.4815,0.5433,0.2243,32,60
0.95,0.8,0.5333,0.4815,0.5433,0.2243,32,60
0.98,0.8,0.5333,0.4815,0.5433,0.2243,32,60
0.85,0.85,0.5333,0.4815,0.5433,0.2243,32,60
0.88,0.85,0.5333,0.4815,0.5433,0.2243,32,60
0.9,0.85,0.5333,0.4815,0.5433,0.2243,32,60
0.92,0.85,0.5333,0.4815,0.5433,0.2243,32,60
0.95,0.85,0.5333,0.4815,0.5433,0.2243,32,60
0.98,0.85,0.5333,0.4815,0.5433,0.2243,32,60
0.85,0.9,0.5333,0.4815,0.5389,0.225,32,60
0.88,0.9,0.5333,0.4815,0.5389,0.225,32,60
0.9,0.9,0.5333,0.4815,0.5389,0.225,32,60
0.92,0.9,0.5333,0.4815,0.5389,0.225,32,60
0.95,0.9,0.5333,0.4815,0.5389,0.225,32,60
0.98,0.9,0.5333,0.4815,0.5389,0.225,32,60
0.85,0.95,0.5333,0.4815,0.5389,0.225,32,60
0.88,0.95,0.5333,0.4815,0.5389,0.225,32,60
0.9,0.95,0.5333,0.4815,0.5389,0.225,32,60
0.92,0.95,0.5333,0.4815,0.5389,0.225,32,60
0.95,0.95,0.5333,0.4815,0.5389,0.225,32,60
0.98,0.95,0.5333,0.4815,0.5389,0.225,32,60
0.85,1.0,0.5333,0.4815,0.5389,0.225,32,60
0.88,1.0,0.5333,0.4815,0.5389,0.225,32,60
0.9,1.0,0.5333,0.4815,0.5389,0.225,32,60
0.92,1.0,0.5333,0.4815,0.5389,0.225,32,60
0.95,1.0,0.5333,0.4815,0.5389,0.225,32,60
0.98,1.0,0.5333,0.4815,0.5389,0.225,32,60
0.85,0.7,0.5167,0.4727,0.5367,0.2234,31,60
0.88,0.7,0.5167,0.4727,0.5367,0.2234,31,60
0.9,0.7,0.5167,0.4727,0.5367,0.2234,31,60
0.92,0.7,0.5167,0.4727,0.5367,0.2234,31,60
0.95,0.7,0.5167,0.4727,0.5367,0.2234,31,60
0.98,0.7,0.5167,0.4727,0.5367,0.2234,31,60
0.85,0.75,0.5167,0.4727,0.5367,0.2234,31,60
0.88,0.75,0.5167,0.4727,0.5367,0.2234,31,60
0.9,0.75,0.5167,0.4727,0.5367,0.2234,31,60
0.92,0.75,0.5167,0.4727,0.5367,0.2234,31,60
0.95,0.75,0.5167,0.4727,0.5367,0.2234,31,60
0.98,0.75,0.5167,0.4727,0.5367,0.2234,31,60
